s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-8.9354641E-004, 3.4907609E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5863880E-004, 0.0000000E+000, 0.0000000E+000
 2.1000000E+003, 2.1696254E+002,-4.8435277E+001,-1.4665874E+002,-1.3637301E+001,-2.3699761E-002, 0.0000000E+000, 0.0000000E+000, 6.4189125E-001, 8.2075180E+000, 1.3229665E-002, 1.3229665E-002
