,45,50,55,60,65,70,75,80,,,,,,
225,4.35E-07,2.93E-07,2.18E-07,1.59E-07,1.87E-07,5.68E-07,5.15E-06,2.40E-05,,,,,,
230,6.99E-07,4.45E-07,2.97E-07,2.01E-07,2.89E-07,4.25E-06,2.15E-05,3.06E-05,,,,,,
235,9.74E-07,6.48E-07,4.24E-07,2.81E-07,3.51E-07,3.14E-06,1.74E-05,1.67E-05,,,,,,
240,1.28E-06,9.26E-07,6.01E-07,4.03E-07,3.74E-07,1.49E-06,7.49E-06,1.23E-05,,,,,,
245,1.51E-06,1.20E-06,8.31E-07,5.88E-07,4.75E-07,8.91E-07,4.24E-06,1.84E-05,,,,,,
250,1.73E-06,1.44E-06,1.07E-06,7.96E-07,6.71E-07,2.03E-06,9.80E-06,3.06E-05,,,,,,
255,1.86E-06,1.62E-06,1.27E-06,9.81E-07,1.07E-06,6.53E-06,2.80E-05,3.21E-05,,,,,,
260,2.01E-06,1.77E-06,1.50E-06,1.29E-06,1.27E-06,2.90E-06,1.18E-05,1.34E-05,,,,,,
265,2.11E-06,1.98E-06,1.85E-06,1.64E-06,1.69E-06,1.94E-06,3.62E-06,6.14E-06,,,,,,
270,2.26E-06,2.21E-06,2.20E-06,2.05E-06,2.11E-06,0.00E+00,0.00E+00,0.00E+00,,,,,,
