, 45, 50, 55, 60, 65, 70, 75, 80
25, 0,  2.7528200E-010,  6.5855700E-010,  1.2045095E-008,  1.9087846E-007,  0.0000000E+000,  0.0000000E+000,  0.0000000E+000
30,  7.9624739E-011,  1.1923674E-010,  3.0817284E-010,  8.2845056E-009,  4.7820642E-007,  1.0381701E-005,  3.8783070E-005,  3.7181098E-005
35,  1.2225119E-010,  2.5113765E-010,  3.1594059E-010,  1.1463311E-009,  3.5920346E-008,  8.6899459E-007,  5.9144178E-006,  1.9422929E-005
40,  1.4539136E-010,  3.1831368E-010,  5.4266005E-010,  7.1108723E-010,  6.9403307E-009,  2.6468050E-007,  3.8895444E-006,  2.2687594E-005
45,  1.5927072E-010,  2.8647354E-010,  5.7789105E-010,  1.3883652E-009,  3.2583823E-008,  1.3251784E-006,  1.3246140E-005,  3.1332698E-005
50,  1.3561605E-010,  2.4617853E-010,  5.6609021E-010,  2.6561780E-009,  9.4525879E-008,  3.0082077E-006,  2.3017723E-005,  3.1381723E-005
55,  8.6318669E-011,  1.5907375E-010,  4.6097263E-010,  2.6671343E-009,  1.2596374E-007,  4.0181381E-006,  1.7512408E-005,  2.0623896E-005
60,  5.9848793E-011,  1.4238534E-010,  3.3353594E-010,  8.3816816E-010,  1.5338319E-008,  2.5773200E-007,  3.4582330E-006,  1.5453464E-005
65,  4.0806194E-011,  1.2625101E-010,  2.6980173E-010,  5.0457061E-010,  9.2754960E-009,  2.9780346E-007,  3.4314720E-006,  2.4139792E-005
70,  2.7475411E-011,  7.7092363E-011,  2.0617788E-010,  1.1772141E-009,  3.9042408E-008,  1.4268947E-006,  1.1126200E-005,  3.0967195E-005
75,  2.4696099E-011,  5.4939266E-011,  2.6183360E-010,  3.4119230E-009,  1.0647665E-007,  3.2019690E-006,  2.2000235E-005,  3.4960694E-005
80,  3.8301793E-011,  7.3085989E-011,  3.2462429E-010,  4.6746212E-009,  1.5983445E-007,  4.3677278E-006,  2.4877530E-005,  2.3883601E-005
85,  1.1320845E-010,  1.8114801E-010,  3.2826094E-010,  1.4616385E-009,  3.2062620E-008,  3.1565590E-007,  3.6317672E-006,  1.4622478E-005
90,  1.6932180E-010,  3.1083715E-010,  4.3998240E-010,  7.7259273E-010,  9.2262911E-009,  2.7538363E-007,  2.5421419E-006,  2.0331733E-005
95,  2.3703392E-010,  4.1384321E-010,  6.6907032E-010,  1.8733467E-009,  3.7882398E-008,  1.1535616E-006,  8.6050551E-006,  2.9727319E-005
100,  3.0449518E-010,  4.7352130E-010,  9.2448547E-010,  5.8761372E-009,  1.2227889E-007,  3.2916297E-006,  2.1531204E-005,  3.7425547E-005
105,  4.5472400E-010,  7.6598387E-010,  1.7121618E-009,  1.1556579E-008,  2.2271666E-007,  5.9967963E-006,  3.1968994E-005,  2.8852821E-005
110,  6.6226339E-010,  1.9734544E-009,  4.2672348E-009,  7.9283810E-009,  7.6668453E-008,  8.3308986E-007,  7.3743057E-006,  1.4733362E-005
115,  7.0726310E-010,  3.4753584E-009,  8.6526445E-009,  1.0784640E-008,  3.0335271E-008,  2.9663491E-007,  2.2712262E-006,  1.3985023E-005
120,  8.6368317E-010,  7.1664023E-009,  1.5369087E-008,  1.9029474E-008,  7.5694682E-008,  1.2241366E-006,  6.2277288E-006,  2.4960578E-005
125,  8.0648147E-010,  7.6946503E-009,  1.8388640E-008,  3.1855838E-008,  2.9790278E-007,  4.2865034E-006,  1.8813551E-005,  3.5756126E-005
130,  1.1799652E-009,  8.6124846E-009,  2.0333774E-008,  3.5884682E-008,  4.1962726E-007,  7.9378029E-006,  4.0968680E-005,  2.9333325E-005
135,  1.4857877E-009,  9.2023306E-009,  2.2206546E-008,  3.5439183E-008,  2.5791810E-007,  2.4695494E-006,  1.2951320E-005,  1.8161755E-005
140,  1.9769749E-009,  9.3264377E-009,  2.2645622E-008,  3.5762235E-008,  1.5069614E-007,  6.1668905E-007,  2.9010087E-006,  1.6840235E-005
145,  2.1964633E-009,  8.1603330E-009,  2.1714417E-008,  3.3389803E-008,  9.6458965E-008,  4.3432668E-007,  3.5328296E-006,  2.4418452E-005
150,  2.9358138E-009,  1.0307588E-008,  2.4857983E-008,  3.6269638E-008,  1.0512649E-007,  9.8235613E-007,  1.0138224E-005,  3.4022374E-005
155,  3.5798299E-009,  1.1950041E-008,  2.8145964E-008,  4.2735464E-008,  2.3293781E-007,  5.8518444E-006,  2.5069680E-005,  3.1983058E-005
