, 45, 50, 55, 60, 65, 70, 75, 80
25, 0,  2.8647903E-006,  4.3787013E-006,  5.8464212E-006,  6.3790912E-006,  0.0000000E+000,  0.0000000E+000,  0.0000000E+000
30,  2.2918101E-006,  3.9335006E-006,  5.5551555E-006,  7.1536321E-006,  7.4627627E-006,  7.6354511E-006,  7.3386616E-006,  7.0599640E-006
35,  3.1131732E-006,  5.1184012E-006,  6.7664370E-006,  8.3477669E-006,  8.4909938E-006,  8.3542144E-006,  8.1382754E-006,  7.1835781E-006
40,  4.7702389E-006,  8.1830825E-006,  9.9421140E-006,  9.7033208E-006,  8.7896059E-006,  8.6208491E-006,  8.6415983E-006,  7.2224449E-006
45,  6.1253898E-006,  1.0733150E-005,  1.1359829E-005,  8.9329188E-006,  7.8105643E-006,  8.3945920E-006,  9.1002998E-006,  7.1638322E-006
50,  4.7951275E-006,  1.0162798E-005,  7.9453916E-006,  5.9025354E-006,  6.7498022E-006,  9.1338111E-006,  9.8761358E-006,  7.0292207E-006
55,  2.1591833E-006,  2.9933505E-006,  2.7409766E-006,  4.2323006E-006,  7.9782520E-006,  1.1816120E-005,  1.0780604E-005,  6.4591592E-006
60,  1.0791877E-006,  1.0410292E-006,  1.7296353E-006,  5.7321357E-006,  1.1184012E-005,  1.3498947E-005,  1.0806407E-005,  5.6210864E-006
65,  8.8699620E-007,  9.0839542E-007,  2.2163541E-006,  7.8960085E-006,  1.2197406E-005,  1.2432117E-005,  9.0604578E-006,  4.2899946E-006
70,  7.6708177E-007,  8.2961352E-007,  2.6933709E-006,  9.1777152E-006,  1.0920120E-005,  9.4778077E-006,  6.5455803E-006,  3.0143498E-006
75,  6.7485718E-007,  7.2428910E-007,  2.5472191E-006,  4.9245633E-006,  7.8446617E-006,  6.6279514E-006,  4.3925690E-006,  2.0665272E-006
80,  6.1173050E-007,  6.1018737E-007,  1.1394536E-006,  2.2047090E-006,  2.9526233E-006,  2.3916125E-006,  1.8975681E-006,  1.1057546E-006
85,  5.0601641E-007,  5.1851281E-007,  5.4646591E-007,  8.5756377E-007,  9.7880806E-007,  9.3126169E-007,  7.6600639E-007,  5.6705086E-007
90,  3.4929660E-007,  4.0241220E-007,  4.5471816E-007,  4.7761211E-007,  4.6580919E-007,  4.4450297E-007,  3.9147441E-007,  3.3360951E-007
