s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-7.2198418E-001, 3.8881724E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1809600E-001, 0.0000000E+000, 0.0000000E+000
 2.1000000E+003, 2.1696766E+002,-3.0658998E+001,-2.3967475E+002,-3.5221825E+001,-2.4870603E-002, 0.0000000E+000, 0.0000000E+000, 4.7107170E-002,-8.8612785E+001, 1.3229528E-002, 1.3229528E-002
