s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-8.9387871E-004, 3.4907609E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5897110E-004, 0.0000000E+000, 0.0000000E+000
 2.1000000E+003, 2.1697362E+002,-4.5199793E+001,-1.5263799E+002,-1.1365997E+001,-2.3724725E-002, 0.0000000E+000, 0.0000000E+000, 6.3969335E-001, 7.7461146E+000, 1.3229671E-002, 1.3229671E-002
