s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-8.9388641E-004, 3.4907609E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5897880E-004, 0.0000000E+000, 0.0000000E+000
 2.1000000E+003, 2.1699867E+002,-4.3837199E+001,-1.5513248E+002,-1.0008641E+001,-2.3712373E-002, 0.0000000E+000, 0.0000000E+000, 6.5773273E-001, 7.9966385E+000, 1.3229583E-002, 1.3229583E-002
