s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-7.2187554E-001, 4.6062305E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1726931E-001, 0.0000000E+000, 0.0000000E+000
 2.1000000E+003, 3.2544251E+002,-5.6940761E+001,-3.2772088E+002,-1.8367583E+001,-3.7034419E-002, 0.0000000E+000, 0.0000000E+000,-2.8161882E-001,-7.7623741E+001, 1.9844297E-002, 1.9844297E-002
