s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.0773637E+000, 5.0506818E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0723130E+000, 0.0000000E+000, 0.0000000E+000
 3.6000000E+003, 1.6453592E+002,-3.9294803E+001,-1.6110325E+002,-2.3228105E+001,-6.4268123E-003, 0.0000000E+000, 0.0000000E+000,-8.5696280E-002,-5.9096663E+001, 1.0032407E-002, 1.0032407E-002
