s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.0769023E+000, 5.4718112E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0714305E+000, 0.0000000E+000, 0.0000000E+000
 3.6000000E+003, 3.2906617E+002,-6.6720845E+001,-3.1962607E+002,-2.8483351E+001,-1.2896706E-002, 0.0000000E+000, 0.0000000E+000,-2.5375069E-002,-8.5776989E+001, 2.0064798E-002, 2.0064798E-002
