s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.0769023E+000, 5.4718112E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0714305E+000, 0.0000000E+000, 0.0000000E+000
 3.6000000E+003, 3.2905893E+002,-6.7730266E+001,-2.8038071E+002,-2.3791927E+001,-1.2794927E-002, 0.0000000E+000, 0.0000000E+000,-6.1425134E-002,-4.2856774E+001, 2.0064779E-002, 2.0064779E-002
