s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-7.2199041E-001, 5.4852932E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1650512E-001, 0.0000000E+000, 0.0000000E+000
 2.1000000E+003, 2.1697175E+002,-2.8417779E+001,-2.4546228E+002,-3.5676013E+001,-2.4896692E-002, 0.0000000E+000, 0.0000000E+000, 2.4620051E-003,-9.2609221E+001, 1.3229525E-002, 1.3229525E-002
