s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-7.2198760E-001, 6.2170026E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1577060E-001, 0.0000000E+000, 0.0000000E+000
 2.1000000E+003, 2.1697090E+002,-2.9038674E+001,-2.3976796E+002,-3.4907145E+001,-2.4882427E-002, 0.0000000E+000, 0.0000000E+000, 2.3087072E-002,-8.6767757E+001, 1.3229543E-002, 1.3229543E-002
